kegiatan bem dalam waktu dekat ini,Kegiatan
Apa Kegiatan di fakultas teknik dalam waktu dekat ini?,Kegiatan
kegiatan di fakultas,Kegiatan
saya ingin meghubungi bem,Kontak_BEM
Bagaimana cara saya berkomunikasi dengan BEM Fakultas,Kontak_BEM
aku mau ketemu sama ketua BEM,Kontak_BEM
Saya ingin betemu dengan pihak BEM fakultas,Kontak_BEM
aku mau ngomong sama ketua DPM,Kontak_DPM
Saya ingin menghubungi ketua DPM,Kontak_DPM
saya ingin menghubungi HMTI,KontakHima
saya ingin menghubungi HMTE,KontakHima
Bagaimana saya dapat menghubungi Hima Jurusan,KontakHima
Saya ingin menghubungi HMTP,KontakHima
nama dekan fakultas teknik,PimpinanFakultas
siapa dekan fakultas teknik,PimpinanFakultas
nama lengkap pak sapta,PimpinanFakultas
Siapa nama pimpinan fakultas teknik,PimpinanFakultas
Saya mau input Mata kuliah,SIPA
saya mau melihat ipk saya,SIPA
aku mau lihat nilai akhir,SIPA
aku mau input mata kuliah,SIPA
Saya ingin mengajukan Aspirasi,Tentang_Aspirasi
Cara buat aspirasi,Tentang_Aspirasi
Aspirasi buatnya dimana ya?,Tentang_Aspirasi
Saya ingin membuat Status Aktif Mahasiswa,TentangPelayananAkademik
Saya ingin membuat Surat Permohonan Kerja Praktik (KP),TentangPelayananAkademik
Saya in,TentangPelayananAkademik
Saya ingin mengajukan Surat Permohonan Magang,TentangPelayananAkademik
Saya ingin Pelayanan Akademik Fakultas Teknik,TentangPelayananAkademik
Saya ingin membuat surat permohonan pemgambilan data penelitian,TentangPelayananAkademik
saya ingin mengajukan transkip nilai sementara,TentangPelayananAkademik
saya ingin membuat surat rekomendasi,TentangPelayananAkademik
siapa wakil dekan fakultas teknik,WakilPimipinan
Siapa nama Wakil Dekan Fakultas Teknik,WakilPimipinan
